"ID","pid","MATINH","Urban_Rural","age","C1","C2","TOTAL_HH_member","assets_1","assets_2","assets_3","assets_4","assets_5","assets_6","assets_7","assets_8","assets_9","assets_10","assets_11","assets_12","assets_13","assets_14","assets_15","assets_16","assets_17","assets_18","assets_19","C9","C10"
"010180052900826",2,1,2,19,1,4,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010180052900827",4,1,2,33,1,2,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180052900828",6,1,2,56,1,4,6,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180052900829",3,1,2,38,1,2,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010180052900830",2,1,2,18,1,4,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,
"010180052900831",3,1,2,24,1,2,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180052900833",4,1,2,46,1,4,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180052900835",3,1,2,37,1,2,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010180052900836",3,1,2,40,1,3,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180052900837",5,1,2,53,1,4,6,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180055302141",1,1,2,16,1,3,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010180055302142",1,1,2,61,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010180055302143",3,1,2,46,1,4,4,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010180055302144",1,1,2,16,1,5,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,
"010180055302145",2,1,2,47,1,1,2,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,
"010180055302146",3,1,2,38,1,3,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010180055302147",4,1,2,32,1,2,5,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010180055302148",2,1,2,15,1,3,6,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010180055302149",1,1,2,61,1,1,2,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010180055302155",2,1,2,16,1,4,5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010180055302157",1,1,2,63,1,1,2,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010180055302159",3,1,2,23,1,4,6,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010180058900121",3,1,2,48,1,4,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180058900122",6,1,2,45,1,5,7,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010180058900123",4,1,2,63,1,3,5,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010180058900125",3,1,2,35,1,5,6,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,
"010180058900126",2,1,2,41,1,3,3,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010180058900127",4,1,2,57,1,5,5,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
"010180058900129",2,1,2,54,1,3,3,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
